,9gag.com.js,EmbedCanvas.js,V6zvOIoD.js,abg_lite.js,adsbygoogle.js,analytics.js,aps_csm.js,apstag.js,bcFOj52kynp.js,beacon.js,button.e96bb6acc0f8bda511c0c46a84ee18e4.js,bytegain.min.js,ca-pub-0268871989845966.js,client.js,express_html_inpage_rendering_lib_200_246.js,ext.js,fbevents.js,gag.js,gpt.js,idsync.4fd5df3e.js,ima3.js,m_js_controller.js,m_qs_click_protection.js,m_window_focus_non_hydra.js,manifest.js,piwik.7688214.js,pubads_impl_291.js,pubads_impl_rendering_291.js,qdUMtk3h9NPeMnxL_ueP0gGNIaopftyIbOMunPoqFCM.js,recaptcha__en.js,sdk.js,show_ads_impl.js,showad.js,u01meJHOm6aDdkm65zsgPs06YC1LmxK3T-HIHDDIdgw.js,vendor.js,widgets.js
flash,1,0,0,0,0,1,0,0,1,0,0,0,0,0,11,4,0,0,0,0,1,0,0,0,0,1,4,1,0,0,3,4,0,0,0,0
getElementById,6,3,0,1,9,0,0,0,5,0,0,0,0,0,3,0,0,21,1,0,0,2,0,0,0,0,6,2,0,3,5,19,5,0,8,0
getVideoElement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
href,24,2,3,7,7,24,1,1,61,0,2,8,0,2,4,3,3,96,3,0,18,14,0,0,0,22,8,2,0,21,34,25,7,0,84,20
http,231,17,8,10,18,40,10,12,27,0,0,6,0,1,18,3,6,34,8,0,25,6,0,0,0,6,42,14,0,24,62,38,13,0,59,32
https,159,5,5,6,13,29,6,7,21,0,0,4,0,0,11,3,5,25,6,0,18,4,0,0,0,3,33,10,0,21,47,26,6,0,20,28
insertBefore,10,0,0,1,4,1,0,1,6,0,0,1,0,0,2,0,1,2,1,0,3,0,0,0,0,0,2,0,0,3,1,7,5,0,12,5
localStorage,0,0,0,0,9,0,0,22,2,0,0,19,1,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,2,4,12,6,0,1,3
localStorageCache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
localstorage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
location,44,4,19,15,34,23,5,3,42,0,0,8,0,5,9,7,2,30,11,1,42,14,0,0,0,11,32,10,0,8,39,54,16,0,32,3
new Image(),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0
new XMLHttpRequest(),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
onLoad,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
onload,9,1,2,0,7,4,0,9,28,1,0,3,0,0,2,0,0,13,0,0,3,0,0,0,0,2,4,4,0,6,16,6,6,0,6,4
onreadystatechange,10,0,3,3,0,1,0,4,8,0,0,1,0,3,5,0,1,6,0,2,2,3,0,0,0,6,4,0,0,8,4,3,3,0,8,3
readyState,12,0,1,1,4,2,0,11,7,0,0,1,0,0,6,0,1,17,4,2,12,1,0,0,0,8,10,0,0,6,6,2,8,0,10,2
registerCall,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
registerGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
setAttribute,10,33,0,1,13,8,0,0,28,0,1,3,0,4,5,0,0,5,1,0,7,1,0,0,0,2,3,7,0,18,8,26,0,0,41,8
setTimeout,12,14,3,10,12,3,0,11,71,0,0,5,0,6,8,3,2,28,2,1,14,4,1,1,0,5,20,8,1,14,29,27,14,1,47,12
setattribute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src,38,6,15,3,6,11,2,13,35,2,0,6,0,16,23,1,5,39,9,2,41,2,0,1,0,7,17,10,0,30,22,31,16,0,39,24
unregisterCall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
url(,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,7
video,115,2,0,0,0,0,0,13,0,0,0,0,0,11,16,0,0,62,0,0,56,3,0,0,0,2,32,0,0,0,5,16,0,0,2,4
window,214,62,21,35,27,15,16,90,153,2,2,34,1,18,42,21,2,98,8,5,136,44,2,2,2,5,147,41,4,77,120,37,45,4,177,24
